incorrectWord,correctWord,freq,candidateCount,incorrectLength,correctLength,norvigGuess,norvigSuccess,chiSquareGuess,chiSquareSuccess,gtestGuess,gtestSuccess,multinomialGuess,multinomialSuccess
magnifecent,magnificent,1.0756688194982902e-05,1,11,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
magnifiscant,magnificent,1.0756688194982902e-05,1,12,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
magnifisent,magnificent,1.0756688194982902e-05,1,11,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
magnificant,magnificent,1.0756688194982902e-05,1,11,11,magnificent,1,magnificent,1,magnificent,1,magnificent,1
annt,aunt,4.6612315511592574e-05,5,4,4,anna,0,anne,0,ann,0,ant,0
anut,aunt,4.6612315511592574e-05,4,4,4,aunt,1,anus,0,ant,0,aunt,1
arnt,aunt,4.6612315511592574e-05,4,4,4,aunt,1,aunt,1,ant,0,arat,0
intial,initial,1.6135032292474352e-05,1,6,7,initial,1,initial,1,initial,1,initial,1
ther,there,0.0026640731096240987,13,4,5,the,0,tver,0,the,0,ether,0
experances,experiences,9.860297512067659e-06,1,10,11,experiences,1,experiences,1,experiences,1,experiences,1
biult,built,6.902208258447362e-05,1,5,5,built,1,built,1,built,1,built,1
totaly,totally,8.067516146237176e-06,2,6,7,total,0,total,0,total,0,totally,1
undersand,understand,0.0003693129613610796,1,9,10,understand,1,understand,1,understand,1,understand,1
undistand,understand,0.0003693129613610796,1,9,10,understand,1,understand,1,understand,1,understand,1
southen,southern,0.0001738997924855569,1,7,8,southern,1,southern,1,southern,1,southern,1
definately,definitely,3.137367390203346e-05,1,10,10,definitely,1,definitely,1,definitely,1,definitely,1
difinately,definitely,3.137367390203346e-05,1,10,10,definitely,1,definitely,1,definitely,1,definitely,1
fisited,visited,2.509893912162677e-05,1,7,7,visited,1,visited,1,visited,1,visited,1
viseted,visited,2.509893912162677e-05,1,7,7,visited,1,visited,1,visited,1,visited,1
vistid,visited,2.509893912162677e-05,1,6,7,viscid,0,viscid,0,viscid,0,viscid,0
vistied,visited,2.509893912162677e-05,1,7,7,visited,1,visited,1,visited,1,visited,1
volantry,voluntary,1.5238641609559111e-05,1,8,9,voluntary,1,voluntary,1,voluntary,1,voluntary,1
ment,meant,0.00010129214716942232,19,4,5,men,0,cent,0,men,0,meant,1
recieve,receive,8.515711487694797e-05,2,7,7,receive,1,relieve,0,relieve,0,receive,1
sorces,sources,2.6891720487457253e-05,4,6,7,forces,0,sordes,0,sores,0,sources,1
wether,whether,0.0003200114738007413,4,6,7,whether,1,nether,0,ether,0,weather,0
usefull,useful,6.543651985281265e-05,1,7,6,useful,1,useful,1,useful,1,useful,1
litriture,literature,1.4342250926643868e-05,1,9,10,literature,1,literature,1,literature,1,literature,1
valubale,valuable,2.9580892536202977e-05,1,8,8,valuable,1,valuable,1,valuable,1,valuable,1
valuble,valuable,2.9580892536202977e-05,1,7,8,valuable,1,valuable,1,valuable,1,valuable,1
desicate,desiccate,0.0,2,8,9,delicate,0,delicate,0,delicate,0,dedicate,0
dessicate,desiccate,0.0,3,9,9,delicate,0,delicate,0,delicate,0,dedicate,0
dessiccate,desiccate,0.0,1,10,9,dessiccate,0,dessiccate,0,dessiccate,0,dessiccate,0
clearical,clerical,7.171125463321934e-06,1,9,8,clerical,1,clerical,1,clerical,1,clerical,1
spledid,splendid,6.902208258447362e-05,1,7,8,splendid,1,splendid,1,splendid,1,splendid,1
splended,splendid,6.902208258447362e-05,1,8,8,splendid,1,splendid,1,splendid,1,splendid,1
splened,splendid,6.902208258447362e-05,11,7,8,opened,0,splenic,0,speed,0,splendid,1
beetween,between,0.0005808611625290767,1,8,7,between,1,between,1,between,1,between,1
completly,completely,8.426072419403273e-05,1,9,10,completely,1,completely,1,completely,1,completely,1
acount,account,0.0001586611508759978,3,6,7,count,0,amount,0,count,0,account,1
cemetary,cemetery,1.7927813658304835e-06,1,8,8,cemetery,1,cemetery,1,cemetery,1,cemetery,1
semetary,cemetery,1.7927813658304835e-06,4,8,8,secretary,0,cemetery,1,seminary,0,secretary,0
speaical,special,0.00014073333721769296,2,8,7,special,1,spherical,0,special,1,spherical,0
specail,special,0.00014073333721769296,1,7,7,special,1,special,1,special,1,special,1
specal,special,0.00014073333721769296,1,6,7,special,1,special,1,special,1,special,1
speical,special,0.00014073333721769296,1,7,7,special,1,special,1,special,1,special,1
lates,latest,1.5238641609559111e-05,12,5,6,later,0,gates,0,late,0,latest,1
latets,latest,1.5238641609559111e-05,1,6,6,latest,1,latest,1,latest,1,latest,1
latiest,latest,1.5238641609559111e-05,1,7,6,latest,1,latest,1,latest,1,latest,1
latist,latest,1.5238641609559111e-05,1,6,6,latest,1,latest,1,latest,1,latest,1
perhapse,perhaps,0.0001864492620463703,1,8,7,perhaps,1,perhaps,1,perhaps,1,perhaps,1
rember,remember,0.00014431889994935394,1,6,8,member,0,member,0,member,0,member,0
remeber,remember,0.00014431889994935394,1,7,8,remember,1,remember,1,remember,1,remember,1
rememmer,remember,0.00014431889994935394,1,8,8,remember,1,remember,1,remember,1,remember,1
rermember,remember,0.00014431889994935394,1,9,8,remember,1,remember,1,remember,1,remember,1
chaper,chapter,0.0004159252768726722,4,6,7,chapter,1,chapel,0,caper,0,cheaper,0
chaphter,chapter,0.0004159252768726722,1,8,7,chapter,1,chapter,1,chapter,1,chapter,1
chaptur,chapter,0.0004159252768726722,1,7,7,chapter,1,chapter,1,chapter,1,chapter,1
cak,cake,5.378344097491451e-06,10,3,4,can,0,cal,0,ak,0,cake,1
vairious,various,0.00013894055585186247,1,8,7,various,1,various,1,various,1,various,1
febuary,february,3.495923663369443e-05,1,7,8,february,1,february,1,february,1,february,1
pertend,pretend,7.171125463321934e-06,2,7,7,pretend,1,portend,0,portend,0,pretend,1
protend,pretend,7.171125463321934e-06,2,7,7,pretend,1,pretend,1,pretend,1,portend,0
prtend,pretend,7.171125463321934e-06,2,6,7,pretend,1,portend,0,portend,0,pretend,1
pritend,pretend,7.171125463321934e-06,1,7,7,pretend,1,pretend,1,pretend,1,pretend,1
chosing,choosing,1.7927813658304835e-05,4,7,8,closing,0,choking,0,choking,0,choosing,1
rote,wrote,0.00013356221175437103,17,4,5,rose,0,rope,0,rot,0,route,0
wote,wrote,0.00013356221175437103,7,4,5,wrote,1,woke,0,woe,0,wrote,1
particulaur,particular,8.246794282820224e-05,1,11,10,particular,1,particular,1,particular,1,particular,1
awfall,awful,2.599532980454201e-05,5,6,5,wall,0,befall,0,wall,0,awful,1
afful,awful,2.599532980454201e-05,1,5,5,awful,1,awful,1,awful,1,awful,1
arragment,arrangement,3.137367390203346e-05,2,9,11,arrangement,1,fragment,0,fragment,0,arrangement,1
chalenges,challenges,1.7927813658304835e-06,1,9,10,challenges,1,challenges,1,challenges,1,challenges,1
lagh,laugh,6.274734780406692e-05,2,4,5,laugh,1,lash,0,lash,0,laugh,1
lauf,laugh,6.274734780406692e-05,56,4,5,last,0,taut,0,au,0,lax,0
laught,laugh,6.274734780406692e-05,6,6,5,caught,0,caught,0,laugh,1,caught,0
lugh,laugh,6.274734780406692e-05,4,4,5,laugh,1,lush,0,ugh,0,laugh,1
ofen,often,0.0003971010725314521,6,4,5,often,1,oven,0,oven,0,often,1
offen,often,0.0003971010725314521,3,5,5,often,1,offer,0,offer,0,offend,0
offten,often,0.0003971010725314521,1,6,5,often,1,often,1,often,1,often,1
ofton,often,0.0003971010725314521,1,5,5,often,1,often,1,often,1,often,1
somone,someone,0.00014342250926643868,1,6,7,someone,1,someone,1,someone,1,someone,1
personnell,personnel,1.7927813658304835e-06,1,10,9,personnel,1,personnel,1,personnel,1,personnel,1
uneque,unique,1.2549469560813385e-05,1,6,6,unique,1,unique,1,unique,1,unique,1
diagrammaticaally,diagrammatically,0.0,1,17,16,diagrammaticaally,0,diagrammaticaally,0,diagrammaticaally,0,diagrammaticaally,0
discription,description,2.420254843871153e-05,1,11,11,description,1,description,1,description,1,description,1
poims,poems,2.6891720487457255e-06,1,5,5,poems,1,poems,1,poems,1,poems,1
pomes,poems,2.6891720487457255e-06,8,5,5,comes,0,domes,0,domes,0,poems,1
perple,purple,2.599532980454201e-05,3,6,6,people,0,people,0,people,0,purple,1
perpul,purple,2.599532980454201e-05,2,6,6,peril,0,peril,0,peru,0,peril,0
poarple,purple,2.599532980454201e-05,2,7,6,purple,1,purple,1,purple,1,parole,0
descide,decide,2.9580892536202977e-05,1,7,6,decide,1,decide,1,decide,1,decide,1
articals,articles,7.70895987307108e-05,5,8,8,articles,1,artisans,0,article,0,articles,1
possition,position,0.00038724077501938446,1,9,8,position,1,position,1,position,1,position,1
extented,extended,6.722930121864313e-05,1,8,8,extended,1,extended,1,extended,1,extended,1
hierachial,hierarchal,0.0,1,10,10,hierachial,0,hierachial,0,hierachial,0,hierachial,0
realy,really,0.00024381826575294577,7,5,6,really,1,ready,0,rely,0,really,1
relley,really,0.00024381826575294577,34,6,6,really,1,rally,0,eley,0,really,1
relly,really,0.00024381826575294577,8,5,6,really,1,rally,0,rely,0,really,1
voteing,voting,5.378344097491451e-06,1,7,6,voting,1,voting,1,voting,1,voting,1
comittee,committee,3.495923663369443e-05,1,8,9,committee,1,committee,1,committee,1,committee,1
wantid,wanted,0.0001909312154609465,1,6,6,wanted,1,wanted,1,wanted,1,wanted,1
wonted,wanted,0.0001909312154609465,1,6,6,wonted,0,wonted,0,wonted,0,wonted,0
benifits,benefits,4.481953414576209e-06,1,8,8,benefits,1,benefits,1,benefits,1,benefits,1
defenitions,definitions,2.6891720487457255e-06,1,11,11,definitions,1,definitions,1,definitions,1,definitions,1
scisors,scissors,1.7031422975389594e-05,1,7,8,scissors,1,scissors,1,scissors,1,scissors,1
sissors,scissors,1.7031422975389594e-05,1,7,8,scissors,1,scissors,1,scissors,1,scissors,1
levals,levels,8.963906829152417e-07,1,6,6,levels,1,levels,1,levels,1,levels,1
paralel,parallel,1.5238641609559111e-05,1,7,8,parallel,1,parallel,1,parallel,1,parallel,1
paralell,parallel,1.5238641609559111e-05,1,8,8,parallel,1,parallel,1,parallel,1,parallel,1
parrallel,parallel,1.5238641609559111e-05,1,9,8,parallel,1,parallel,1,parallel,1,parallel,1
parralell,parallel,1.5238641609559111e-05,1,9,8,parallel,1,parallel,1,parallel,1,parallel,1
parrallell,parallel,1.5238641609559111e-05,2,10,8,parallel,1,parallels,0,parallel,1,parallel,1
accomodation,accommodation,4.481953414576209e-06,1,12,13,accommodation,1,accommodation,1,accommodation,1,accommodation,1
acommodation,accommodation,4.481953414576209e-06,1,12,13,accommodation,1,accommodation,1,accommodation,1,accommodation,1
acomodation,accommodation,4.481953414576209e-06,1,11,13,accommodation,1,accommodation,1,accommodation,1,accommodation,1
planed,planned,1.3445860243728626e-05,1,6,7,planed,0,planed,0,planed,0,planed,0
hierchy,hierarchy,3.585562731660967e-06,1,7,9,hierarchy,1,hierarchy,1,hierarchy,1,hierarchy,1
transfred,transferred,4.6612315511592574e-05,6,9,11,transferred,1,transpired,0,transfer,0,transferred,1
muinets,minutes,0.0001308730397056253,6,7,7,muskets,0,guineas,0,mines,0,muskets,0
aranging,arrangeing,0.0,2,8,10,arranging,0,ranging,0,ranging,0,arranging,0
accesing,accessing,0.0,2,8,9,acceding,0,acceding,0,acceding,0,acceding,0
stomac,stomach,3.764840868244015e-05,1,6,7,stomach,1,stomach,1,stomach,1,stomach,1
stomache,stomach,3.764840868244015e-05,1,8,7,stomach,1,stomach,1,stomach,1,stomach,1
stomec,stomach,3.764840868244015e-05,18,6,7,some,0,stoner,0,some,0,stoner,0
stumache,stomach,3.764840868244015e-05,1,8,7,stomach,1,stomach,1,stomach,1,stomach,1
unfortunatly,unfortunately,9.860297512067659e-06,1,12,13,unfortunately,1,unfortunately,1,unfortunately,1,unfortunately,1
conciderable,considerable,0.00015507558814433682,1,12,12,considerable,1,considerable,1,considerable,1,considerable,1
acess,access,5.019787824325354e-05,1,5,6,access,1,access,1,access,1,access,1
singulaur,singular,3.2270064584948705e-05,1,9,8,singular,1,singular,1,singular,1,singular,1
scarcly,scarcely,5.8265394389490716e-05,1,7,8,scarcely,1,scarcely,1,scarcely,1,scarcely,1
scarecly,scarcely,5.8265394389490716e-05,1,8,8,scarcely,1,scarcely,1,scarcely,1,scarcely,1
scarely,scarcely,5.8265394389490716e-05,1,7,8,scarcely,1,scarcely,1,scarcely,1,scarcely,1
scarsely,scarcely,5.8265394389490716e-05,1,8,8,scarcely,1,scarcely,1,scarcely,1,scarcely,1
questionaire,questionnaire,8.963906829152417e-07,1,12,13,questionnaire,1,questionnaire,1,questionnaire,1,questionnaire,1
experance,experience,9.681019375484611e-05,2,9,10,experience,1,temperance,0,temperance,0,temperance,0
experiance,experience,9.681019375484611e-05,1,10,10,experience,1,experience,1,experience,1,experience,1
possable,possible,0.000303876441508267,1,8,8,possible,1,possible,1,possible,1,possible,1
reafreshment,refreshment,3.585562731660967e-06,1,12,11,refreshment,1,refreshment,1,refreshment,1,refreshment,1
refreshmant,refreshment,3.585562731660967e-06,1,11,11,refreshment,1,refreshment,1,refreshment,1,refreshment,1
refresment,refreshment,3.585562731660967e-06,1,10,11,refreshment,1,refreshment,1,refreshment,1,refreshment,1
refressmunt,refreshment,3.585562731660967e-06,1,11,11,refreshment,1,refreshment,1,refreshment,1,refreshment,1
embaras,embarrass,0.0,3,7,9,embargo,0,embers,0,embers,0,embark,0
embarass,embarrass,0.0,1,8,9,embarass,0,embarass,0,embarass,0,embarass,0
vistors,visitors,6.185095712115169e-05,2,7,8,visitors,1,victors,0,victors,0,visitors,1
auxillary,auxiliary,0.0,1,9,9,axillary,0,axillary,0,axillary,0,axillary,0
descided,decided,0.00013356221175437103,1,8,7,decided,1,decided,1,decided,1,decided,1
benifit,benefit,4.123397141410112e-05,1,7,7,benefit,1,benefit,1,benefit,1,benefit,1
concider,consider,8.784628692569369e-05,1,8,8,consider,1,consider,1,consider,1,consider,1
failes,fails,1.7927813658304835e-05,4,6,5,failed,0,failed,0,fails,1,failed,0
carrer,career,3.495923663369443e-05,6,6,6,career,1,carrel,0,carer,0,carer,0
occurence,occurrence,6.00581757553212e-05,1,9,10,occurrence,1,occurrence,1,occurrence,1,occurrence,1
cirtain,certain,0.0003235970365324023,2,7,7,certain,1,curtain,0,curtain,0,curtain,0
poame,poem,5.378344097491451e-06,47,5,4,some,0,prime,0,ame,0,pomade,0
liew,lieu,6.2747347804066925e-06,6,4,4,view,0,view,0,lie,0,view,0
astablishing,establishing,1.9720595024135318e-05,1,12,12,establishing,1,establishing,1,establishing,1,establishing,1
establising,establishing,1.9720595024135318e-05,1,11,12,establishing,1,establishing,1,establishing,1,establishing,1
diffrent,different,0.00024561104711877624,1,8,9,different,1,different,1,different,1,different,1
lones,loans,1.1653078877898144e-05,10,5,5,bones,0,bones,0,ones,0,bones,0
extreamly,extremely,4.571592482867733e-05,1,9,9,extremely,1,extremely,1,extremely,1,extremely,1
addresable,addressable,0.0,1,10,11,addresable,0,addresable,0,addresable,0,addresable,0
galery,gallery,9.860297512067659e-06,2,6,7,gallery,1,galere,0,galere,0,gallery,1
gallary,gallery,9.860297512067659e-06,1,7,7,gallery,1,gallery,1,gallery,1,gallery,1
gallerry,gallery,9.860297512067659e-06,1,8,7,gallery,1,gallery,1,gallery,1,gallery,1
gallrey,gallery,9.860297512067659e-06,2,7,7,gallery,1,galley,0,galley,0,gallery,1
centraly,centrally,0.0,1,8,9,central,0,central,0,central,0,central,0
familes,families,4.033758073118588e-05,1,7,8,families,1,families,1,families,1,families,1
bicycal,bicycle,8.963906829152417e-07,1,7,7,bicycle,1,bicycle,1,bicycle,1,bicycle,1
bycicle,bicycle,8.963906829152417e-07,1,7,7,bicycle,1,bicycle,1,bicycle,1,bicycle,1
bycycle,bicycle,8.963906829152417e-07,1,7,7,bicycle,1,bicycle,1,bicycle,1,bicycle,1
choise,choice,4.123397141410112e-05,4,6,6,choose,0,chaise,0,chose,0,choice,1
opisite,opposite,7.171125463321934e-05,1,7,8,opposite,1,opposite,1,opposite,1,opposite,1
oppasite,opposite,7.171125463321934e-05,1,8,8,opposite,1,opposite,1,opposite,1,opposite,1
oppesite,opposite,7.171125463321934e-05,1,8,8,opposite,1,opposite,1,opposite,1,opposite,1
oppisit,opposite,7.171125463321934e-05,1,7,8,opposite,1,opposite,1,opposite,1,opposite,1
oppisite,opposite,7.171125463321934e-05,1,8,8,opposite,1,opposite,1,opposite,1,opposite,1
opposit,opposite,7.171125463321934e-05,1,7,8,opposite,1,opposite,1,opposite,1,opposite,1
oppossite,opposite,7.171125463321934e-05,1,9,8,opposite,1,opposite,1,opposite,1,opposite,1
oppossitte,opposite,7.171125463321934e-05,1,10,8,opposite,1,opposite,1,opposite,1,opposite,1
cartains,curtains,4.481953414576209e-06,3,8,8,captains,0,captains,0,captains,0,curtains,1
certans,curtains,4.481953414576209e-06,1,7,8,certains,0,certains,0,certains,0,certains,0
courtens,curtains,4.481953414576209e-06,13,8,8,countess,0,courting,0,cortes,0,courtesan,0
cuaritains,curtains,4.481953414576209e-06,1,10,8,curtains,1,curtains,1,curtains,1,curtains,1
curtans,curtains,4.481953414576209e-06,1,7,8,curtains,1,curtains,1,curtains,1,curtains,1
curtians,curtains,4.481953414576209e-06,1,8,8,curtains,1,curtains,1,curtains,1,curtains,1
curtions,curtains,4.481953414576209e-06,7,8,8,portions,0,cushions,0,curtis,0,curtains,1
adress,address,6.812569190155838e-05,2,6,7,dress,0,dress,0,dress,0,address,1
adres,address,6.812569190155838e-05,3,5,7,acres,0,acres,0,acres,0,dares,0
liaision,liaison,8.963906829152417e-07,1,8,7,liaison,1,liaison,1,liaison,1,liaison,1
liason,liaison,8.963906829152417e-07,1,6,7,liaison,1,liaison,1,liaison,1,liaison,1
managment,management,4.2130362097016364e-05,1,9,10,management,1,management,1,management,1,management,1
inconvienient,inconvenient,3.585562731660967e-06,1,13,12,inconvenient,1,inconvenient,1,inconvenient,1,inconvenient,1
inconvient,inconvenient,3.585562731660967e-06,2,10,12,inconvenient,1,convient,0,convient,0,inconvenient,1
inconvinient,inconvenient,3.585562731660967e-06,1,12,12,inconvenient,1,inconvenient,1,inconvenient,1,inconvenient,1
vairiant,variant,8.963906829152417e-07,1,8,7,variant,1,variant,1,variant,1,variant,1
supercede,supersede,8.963906829152417e-07,1,9,9,supersede,1,supersede,1,supersede,1,supersede,1
superceed,supersede,8.963906829152417e-07,3,9,9,superseded,0,supervened,0,supersede,1,supervened,0
